,y,U_0,U_1,U_2,U_mag,U_mag_mm_per_s,y_um,Relative Error
397,2.95591e-05,0.000973552,-5.68991e-11,7.52416e-28,0.0009735520000000017,0.9735520000000016,29.5591,0.0014691762093324752
398,2.97595e-05,0.000966457,-5.5562e-11,8.42267e-28,0.0009664570000000016,0.9664570000000016,29.7595,0.0014441972333324078
399,2.99599e-05,0.000959362,-5.42249e-11,9.318610000000001e-28,0.0009593620000000015,0.9593620000000015,29.9599,0.001387090129332173
400,3.01603e-05,0.000952093,-5.2855e-11,1.02393e-27,0.0009520930000000015,0.9520930000000015,30.1603,0.0014138548973325153
401,3.03607e-05,0.000944823,-5.1485e-11,1.1159899999999999e-27,0.0009448230000000014,0.9448230000000014,30.360699999999998,0.0014091582039992279
402,3.05611e-05,0.000937554,-5.01151e-11,1.20806e-27,0.0009375540000000014,0.9375540000000013,30.5611,0.001371666715999161
403,3.07615e-05,0.000930284,-4.87452e-11,1.3001299999999999e-27,0.0009302840000000013,0.9302840000000012,30.7615,0.0013027137666659083
404,3.09619e-05,0.000923015,-4.73752e-11,1.3922000000000001e-27,0.0009230150000000012,0.9230150000000013,30.9619,0.0012009660226656542
405,3.11623e-05,0.000915745,-4.60053e-11,1.4842599999999999e-27,0.0009157450000000012,0.9157450000000013,31.1623,0.0010677568173325842
406,3.13627e-05,0.000908476,-4.46354e-11,1.57633e-27,0.000908476000000001,0.9084760000000011,31.362699999999997,0.000901752817332957
407,3.15631e-05,0.000901206,-4.32654e-11,1.6684000000000002e-27,0.0009012060000000011,0.9012060000000011,31.563100000000002,0.0007042873559992557
408,3.17635e-05,0.000893937,-4.18955e-11,1.7604599999999998e-27,0.000893937000000001,0.893937000000001,31.7635,0.00047402709999936715
409,3.19639e-05,0.000886668,-4.05256e-11,1.85253e-27,0.0008866680000000009,0.8866680000000009,31.963900000000002,0.00021163871599938489
410,3.21643e-05,0.000879398,-3.91556e-11,1.9446e-27,0.0008793980000000009,0.8793980000000009,32.1643,-8.221112933393115e-05
411,3.23647e-05,0.000872129,-3.77857e-11,2.0366699999999998e-27,0.0008721290000000008,0.8721290000000008,32.3647,-0.0004088557693335826
412,3.25651e-05,0.000864066,-3.75552e-11,1.93878e-27,0.0008640660000000008,0.8640660000000008,32.5651,-0.00023829520400031612
413,3.27655e-05,0.00085598,-3.73587e-11,1.83521e-27,0.0008559800000000008,0.8559800000000007,32.7655,-8.452943333388714e-05
